33.2;623.72;763.13
33.3;626.07;765.28
33.4;628.44;767.45
33.5;630.83;769.64
33.6;633.24;771.85
33.7;635.68;774.09
33.8;638.15;776.35
33.9;640.66;778.63
34;643.20;780.93
34.1;645.78;783.26
34.2;648.40;785.60
34.3;651.06;787.97
34.4;653.76;790.36
34.5;656.49;792.78
34.6;659.27;795.21
34.7;662.08;797.67
34.8;664.93;800.16
34.9;667.83;802.66
35;670.76;805.20
35.1;673.73;807.76
35.2;676.74;810.35
35.3;679.80;812.96
35.4;682.89;815.59
35.5;686.03;818.24
35.6;689.21;820.91
35.7;692.42;823.61
35.8;695.67;826.33
35.9;698.96;829.07
36;702.29;831.84
36.1;705.66;834.62
36.2;709.07;837.43
36.3;712.52;840.26
36.4;716.01;843.11
36.5;719.53;845.99
36.6;723.09;848.89
36.7;726.68;851.81
36.8;730.28;854.75
36.9;733.91;857.71
37;737.54;860.68
37.1;741.19;863.65
37.2;744.83;866.63
37.3;748.47;869.60
37.4;752.11;872.58
37.5;755.75;875.55
37.6;759.39;878.53
37.7;763.04;881.50
37.8;766.68;884.48
37.9;770.32;887.45
38;773.96;890.43
38.1;777.60;893.40
38.2;781.24;896.38
38.3;784.89;899.35
38.4;788.53;902.33
38.5;792.17;905.30
38.6;795.81;908.28
38.7;799.45;911.25
38.8;803.09;914.23
38.9;806.74;917.20
39;810.38;920.18
39.1;814.02;923.15
39.2;817.66;926.13
39.3;821.30;929.10
39.4;824.94;932.08
39.5;828.59;935.05
39.6;832.23;938.03
39.7;835.87;941.00
39.8;839.51;943.98
39.9;843.15;946.95
40;846.79;949.93
40.1;850.44;952.90
40.2;854.08;955.88
40.3;857.72;958.85
40.4;861.36;961.83
40.5;865.00;964.80
40.6;868.64;967.78
40.7;872.29;970.75
40.8;875.93;973.73
40.9;879.57;976.70
41;883.21;979.68
41.1;886.85;982.65
41.2;890.49;985.63
41.3;894.14;988.60
41.4;897.78;991.58
41.5;901.42;994.55
41.6;905.06;997.53
41.7;908.70;1000.50
41.8;912.34;1003.48
41.9;915.99;1006.45
42;919.63;1009.43
42.1;923.27;1012.40
42.2;926.91;1015.38
42.3;930.55;1018.35
42.4;934.19;1021.33
42.5;937.84;1024.30
42.6;941.48;1027.28
42.7;945.12;1030.25
42.8;948.76;1033.23
42.9;952.40;1036.20
43;956.04;1039.18
43.1;959.69;1042.15
43.2;963.33;1045.13
43.3;966.97;1048.10
43.4;970.61;1051.08
43.5;974.25;1054.05
43.6;977.89;1057.03
43.7;981.54;1060.00
43.8;985.18;1062.98
43.9;988.82;1065.95
44;992.46;1068.93
44.1;996.10;1071.90
44.2;999.74;1074.88
44.3;1003.39;1077.85
